| Rank | City | State | 2025 pop | 2020 base | 5-yr change | 5-yr change % |
| --- | --- | --- | --- | --- | --- | --- |
| #1 | New York | NY | 8,584,629 | 8,805,594 | -220,965 | -2.5% |
| #2 | Los Angeles | CA | 3,869,089 | 3,899,342 | -30,253 | -0.8% |
| #3 | Chicago | IL | 2,731,585 | 2,748,333 | -16,748 | -0.6% |
| #4 | Houston | TX | 2,397,315 | 2,299,649 | 97,666 | +4.2% |
| #5 | Phoenix | AZ | 1,665,481 | 1,608,349 | 57,132 | +3.6% |
| #6 | Philadelphia | PA | 1,574,281 | 1,603,800 | -29,519 | -1.8% |
| #7 | San Antonio | TX | 1,548,422 | 1,433,348 | 115,074 | +8.0% |
| #8 | San Diego | CA | 1,406,106 | 1,384,481 | 21,625 | +1.6% |
| #9 | Dallas | TX | 1,329,491 | 1,304,341 | 25,150 | +1.9% |
| #10 | Fort Worth | TX | 1,028,117 | 918,892 | 109,225 | +11.9% |
| #11 | Jacksonville | FL | 1,017,689 | 949,607 | 68,082 | +7.2% |
| #12 | Austin | TX | 1,002,632 | 958,151 | 44,481 | +4.6% |
| #13 | San Jose | CA | 989,814 | 1,013,321 | -23,507 | -2.3% |
| #14 | Charlotte | NC | 964,784 | 874,708 | 90,076 | +10.3% |
| #15 | Columbus | OH | 938,396 | 906,215 | 32,181 | +3.6% |
| #16 | Indianapolis | IN | 910,638 | 897,038 | 13,600 | +1.5% |
| #17 | San Francisco | CA | 826,079 | 878,550 | -52,471 | -6.0% |
| #18 | Louisville | KY | 795,222 | 782,962 | 12,260 | +1.6% |
| #19 | Seattle | WA | 784,777 | 737,103 | 47,674 | +6.5% |
| #20 | Nashville | TN | 745,904 | 715,887 | 30,017 | +4.2% |
| #21 | Denver | CO | 740,613 | 715,509 | 25,104 | +3.5% |
| #22 | Oklahoma City | OK | 719,849 | 680,936 | 38,913 | +5.7% |
| #23 | Washington | DC | 693,645 | 689,544 | 4,101 | +0.6% |
| #24 | El Paso | TX | 683,012 | 678,932 | 4,080 | +0.6% |
| #25 | Las Vegas | NV | 679,817 | 645,774 | 34,043 | +5.3% |
| #26 | Boston | MA | 672,973 | 678,617 | -5,644 | -0.8% |
| #27 | Detroit | MI | 649,095 | 639,534 | 9,561 | +1.5% |
| #28 | Portland | OR | 635,109 | 652,466 | -17,357 | -2.7% |
| #29 | Memphis | TN | 609,647 | 628,510 | -18,863 | -3.0% |
| #30 | Baltimore | MD | 569,997 | 585,729 | -15,732 | -2.7% |
| #31 | Milwaukee | WI | 562,407 | 577,894 | -15,487 | -2.7% |
| #32 | Albuquerque | NM | 556,588 | 564,428 | -7,840 | -1.4% |
| #33 | Fresno | CA | 555,549 | 542,228 | 13,321 | +2.5% |
| #34 | Tucson | AZ | 548,371 | 542,598 | 5,773 | +1.1% |
| #35 | Sacramento | CA | 536,449 | 524,907 | 11,542 | +2.2% |
| #36 | Atlanta | GA | 529,110 | 498,805 | 30,305 | +6.1% |
| #37 | Kansas City | MO | 521,220 | 508,012 | 13,208 | +2.6% |
| #38 | Mesa | AZ | 513,656 | 504,392 | 9,264 | +1.8% |
| #39 | Raleigh | NC | 506,306 | 468,102 | 38,204 | +8.2% |
| #40 | Colorado Springs | CO | 494,743 | 479,963 | 14,780 | +3.1% |
| #41 | Miami | FL | 489,812 | 442,236 | 47,576 | +10.8% |
| #42 | Omaha | NE | 488,797 | 491,867 | -3,070 | -0.6% |
| #43 | Virginia Beach | VA | 453,737 | 459,417 | -5,680 | -1.2% |
| #44 | Long Beach | CA | 450,469 | 466,768 | -16,299 | -3.5% |
| #45 | Oakland | CA | 440,838 | 440,842 | -4 | -0.0% |
| #46 | Minneapolis | MN | 430,324 | 429,984 | 340 | +0.1% |
| #47 | Bakersfield | CA | 422,165 | 404,362 | 17,803 | +4.4% |
| #48 | Tulsa | OK | 416,209 | 413,093 | 3,116 | +0.8% |
| #49 | Tampa | FL | 413,554 | 385,336 | 28,218 | +7.3% |
| #50 | Aurora | CO | 410,053 | 386,255 | 23,798 | +6.2% |
| #51 | Arlington | TX | 402,134 | 394,387 | 7,747 | +2.0% |
| #52 | Wichita | KS | 400,987 | 397,589 | 3,398 | +0.9% |
| #53 | Cleveland | OH | 363,608 | 372,635 | -9,027 | -2.4% |
| #54 | New Orleans | LA | 362,154 | 384,129 | -21,975 | -5.7% |
| #55 | Henderson | NV | 353,289 | 316,736 | 36,553 | +11.5% |
| #56 | Honolulu | HI | 341,868 | 350,993 | -9,125 | -2.6% |
| #57 | Anaheim | CA | 341,008 | 346,799 | -5,791 | -1.7% |
| #58 | Orlando | FL | 333,888 | 308,101 | 25,787 | +8.4% |
| #59 | Lexington-Fayette urban county | KY | 329,751 | 322,563 | 7,188 | +2.2% |
| #60 | Stockton | CA | 324,597 | 320,777 | 3,820 | +1.2% |
| #61 | Newark | NJ | 323,808 | 311,485 | 12,323 | +4.0% |
| #62 | Riverside | CA | 323,057 | 315,470 | 7,587 | +2.4% |
| #63 | Irvine | CA | 318,764 | 307,656 | 11,108 | +3.6% |
| #64 | Corpus Christi | TX | 317,247 | 318,090 | -843 | -0.3% |
| #65 | Santa Ana | CA | 315,586 | 310,534 | 5,052 | +1.6% |
| #66 | Cincinnati | OH | 314,367 | 309,589 | 4,778 | +1.5% |
| #67 | Greensboro | NC | 308,667 | 299,197 | 9,470 | +3.2% |
| #68 | Pittsburgh | PA | 307,632 | 303,054 | 4,578 | +1.5% |
| #69 | St. Paul | MN | 306,684 | 311,503 | -4,819 | -1.5% |
| #70 | Durham | NC | 305,561 | 283,881 | 21,680 | +7.6% |
| #71 | Jersey City | NJ | 302,013 | 292,742 | 9,271 | +3.2% |
| #72 | Lincoln | NE | 301,522 | 291,351 | 10,171 | +3.5% |
| #73 | North Las Vegas | NV | 296,653 | 259,479 | 37,174 | +14.3% |
| #74 | Plano | TX | 293,028 | 285,465 | 7,563 | +2.6% |
| #75 | Gilbert | AZ | 287,285 | 267,875 | 19,410 | +7.2% |
| #76 | Anchorage | AK | 287,155 | 291,242 | -4,087 | -1.4% |
| #77 | Madison | WI | 286,233 | 274,640 | 11,593 | +4.2% |
| #78 | Reno | NV | 283,621 | 264,151 | 19,470 | +7.4% |
| #79 | Chandler | AZ | 278,748 | 276,091 | 2,657 | +1.0% |
| #80 | St. Louis | MO | 278,144 | 301,349 | -23,205 | -7.7% |
| #81 | Chula Vista | CA | 275,533 | 275,503 | 30 | +0.0% |
| #82 | Fort Wayne | IN | 275,203 | 263,918 | 11,285 | +4.3% |
| #83 | Buffalo | NY | 274,613 | 278,301 | -3,688 | -1.3% |
| #84 | Lubbock | TX | 273,071 | 257,240 | 15,831 | +6.2% |
| #85 | Laredo | TX | 269,515 | 255,212 | 14,303 | +5.6% |
